index,velocity,filtered
0,0,0
1,0,0
2,0,0
3,0,6466112,0
4,0,3325626,0
5,0,1888389,0
6,0,1890959,0
7,0,2063235,0
8,0,1771102,0
9,0,1699931,0
10,0,1792878,0
11,0,1605969,0
12,0,1605718,0
13,0,1482181,0
14,0,1512782,0
15,0,1303615,0
16,0,1218675,0
17,0,1196319,0
18,0,1036271,0
19,0,1059959,0
20,0,09121185,0
21,0,08077601,0
22,0,09175351,0
23,0,06852447,0
24,0,06261809,0
25,0,07096052,0
26,0,04965481,0
27,0,04223159,0
28,0,03568834,0
29,0,05002113,0
30,0,04103867,0
31,0,0335114,0
32,0,0637796,0
33,0,05358162,0
34,0,05016841,0
35,0,02879603,0
36,0,02702011,0
37,0,08890381,0
38,0,08945976,0
39,0,07542416,0
40,0,07766078,0
41,0,02856303,0
42,0,03051437,0
43,0,0870783,0
44,0,08139952,0
45,0,1006595,0
46,0,08377878,0
47,0,132181,0
48,0,1206413,0
49,0,152653,0
50,0,1339197,0
51,0,1846049,0
52,0,1631573,0
53,0,2298769,0
54,0,1845632,0
55,0,3213896,0
56,0,2293638,0
57,0,2101021,0
58,0,1509928,0
59,0,1661997,0
60,0,1418758,0
61,0,1208908,0
62,0,1056133,0
63,0,1504014,0
64,0,1898267,0
65,0,1879938,0
66,0,1531718,0
67,0,2669377,0
68,0,2029586,0
69,0,4510539,0
70,0,3357902,0
71,0,521506,0
72,0,3937775,0
73,0,6533093,0
74,0,5829815,0
75,0,6371304,0
76,0,5823519,0
77,0,6014768,0
78,0,5442241,0
79,0,5372732,0
80,0,522178,0
81,0,6177499,0
82,0,5414819,0
83,0,650362,0
84,0,5480586,0
85,0,7206975,0
86,0,6629072,0
87,1,003589,0
88,0,8558876,0
89,1,205058,0
90,0,9911465,0
91,1,211758,0
92,1,041966,0
93,1,169951,0
94,1,17649,0
95,1,226654,0
96,1,173074,0
97,1,146411,0
98,1,048828,0
99,1,25371,0
100,1,09697,0
101,1,090854,0
102,0,9267689,0
103,1,02222,0
104,1,005584,0
105,0,8610926,0
106,0,8594263,0
107,0,8323126,0
108,0,7903322,0
109,0,9030721,0
110,0,8177421,0
111,0,8836013,0
112,0,7765812,0
113,1,177885,0
114,1,139179,0
115,1,059924,0
116,0,9856623,0
117,0,7517515,0
118,0,6568149,0
119,0,9493068,0
120,0,8754004,0
121,1,133332,0
122,0,9966403,0
123,0,7233191,0
124,0,6607957,0
125,0,5759951,0
126,0,4824212,0
127,0,5159335,0
128,0,4658307,0
129,0,4602134,0
130,0,4588377,0
131,0,5358374,0
132,0,5217298,0
133,0,819248,0
